"Bloomberg Exchange Code","Bloomberg Composite Code","Country","Description","ISO MIC","Google Prefix","EOD code","# of Stocks"
"MM","","Mexico","Bolsa Mexicana De Valores (Mexican Stock Exchange)","XMEX","BMV","MX","94"
"MC","","Morocco","Casablanca Stock Exchange","XCAS","","","12"
"NZ","","New Zealand","New Zealand Exchange Ltd","XNZE","NZE","NZ","55"
"NL","","Nigeria","Nigerian Stock Exchange","XNSA","","","12"
"NO","","Norway","Oslo Bors Asa","XOSL","","OL","134"
"NS","","Norway","Norwegian OTC Market","NOTC","","","1"
"OM","","Oman","Muscat Securities Market","XMUS","","","9"
"PK","PA","Pakistan","Karachi Stock Exchange (Guarantee) Limited","XKAR","KAR","KAR","42"
"PE","","Peru","Bolsa De Valores De Lima","XLIM","","","24"
"PM","","Philippines","Philippine Stock Exchange Inc.","XPHS","PSE","PSE","80"
"PW","","Poland","Warsaw Stock Exchange/Equities/Main Market","XWAR","WSE","WAR","75"
"PL","","Portugal","Nyse Euronext - Euronext Lisbon","XLIS","ELI","LS","20"
"QD","","Qatar","Qatar Exchange","DSMD","","","35"
"RE","RO","Romania","Spot Regulated Market - Bvb","XBSE","","","8"
"RX","RM","Russia","Standard-Classica-Forts","MISX","MCX","MCX","71"
"AB","","Saudi Arabia","Saudi Stock Exchange","XSAU","","SR","173"
"BC","","Senegal","","XBRV","","","1"
"SP","","Singapore","Singapore Exchange","XSES","SGX","SG","260"
"SV","","Slovenia","Ljubljana Stock Exchange (Official Market)","XLJU","","","3"
"SJ","","South Africa","Johannesburg Stock Exchange","XJSE","JNB","JSE","169"
"KP","KS","South Korea","Korea Exchange (Stock Market)","XKRX","KRX","KO","469"
"KQ","KS","South Korea","Korea Exchange (Kosdaq)","XKOS","KOSDAQ","KQ","288"
"SM","","Spain","Bolsa De Madrid","XMAD","BME","MC","132"
"SL","","Sri Lanka","Colombo Stock Exchange","XCOL","","","4"
"NG","","Sweden","Nordic Growth Market","XNGM","","","1"
"SS","","Sweden","Nasdaq Omx Nordic","XSTO","STO","ST","357"
"SE","SW","Switzerland","Six Swiss Exchange","XSWX","SWX","SW","128"
"VX","SW","Switzerland","Six Swiss - Blue Chips Segment","XVTX","VTX","VX","31"
"SY","","Syria","Damascus Securities Exchange","XDSE","","","1"
"TG","","Taiwan","Tapei Exchange","ROCO","","TWO","96"
"TT","","Taiwan","Taiwan Stock Exchange","XTAI","TPE","TW","615"
"TB","","Thailand","Stock Exchange Of Thailand","XBKK","BAK","BK","377"
"MT","","The Netherlands","TOM MTF","TOMX","","","1"
"NA","","The Netherlands","Nyse Euronext - Euronext Amsterdam","XAMS","AMS","AS","90"
"TI","","Turkey","Istanbul Stock Exchange","XIST","IST","IS","95"
"DB","UH","United Arab Emirates","Dubai Financial Market","XDFM","DFM","","18"
"DH","UH","United Arab Emirates","Nasdaq Dubai","DIFX","","","7"
"DU","UH","United Arab Emirates","Abu Dhabi Securities Exchange","XADS","","","16"
"EB","","United Kingdom","BATS Trading Europe","BATE","","","2"
"IX","","United Kingdom","Chi-X Eruope","CHIX","","","2"
"LI","","United Kingdom","London Stock Exchange International","","LON","IL","39"
"LN","","United Kingdom","London Stock Exchange","XLON","LON","LSE","640"
"PO","","United Kingdom","ITG Posit","XPOS","","","1"
"TQ","","United Kingdom","Turquoise","TRQX","","","3"
"XB","","United Kingdom","Cinnober BOAT","BOAT","","","1"
"UA","US","USA","NYSE American","XASE","NYSEAMERICAN","US","318"
"UF","US","USA","CBOE BATS BZX","BATS","BATS","US","1"
"UN","US","USA","New York Stock Exchange","XNYS","NYSE","US","3,363"
"UP","US","USA","NYSE Arca","ARCX","NYSEARCA","US","10"
"UQ","US","USA","NASDAQ Global Market","XNMS","NASDAQ","US","1,363"
"UR","US","USA","NASDAQ Capital Market","XNCM","NASDAQ","US","2,373"
"UV","US","USA","OTC markets","OOTC","OTCMKTS","US","2,479"
"UW","US","USA","NASDAQ Global Select","XNGS","NASDAQ","US","1,784"
"VH","VN","Vietnam","Hanoi Stock Exchange","HSTC","","","4"
"VM","VN","Vietnam","Hochiminh Stock Exchange","XSTC","","VN","61"
